text,label,has_arbitration,arbitration_type,features,source,ambiguous,text_length,word_count,arbitration_keyword_count,legal_keyword_count
Any lawsuit or legal action must be filed in the appropriate court in New York. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,149,25,0,1
Any controversy shall be resolved exclusively in the courts of San Francisco County. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,154,23,0,2
You agree that any legal action may be brought in federal or state court in the state of incorporation.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,103,19,0,1
All claims must be resolved through arbitration conducted by International Chamber of Commerce in California. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,171,25,1,1
**You waive your right to a jury trial** All disputes will be resolved through mandatory arbitration.,1,True,mandatory,"mandatory,jury_waiver",synthetic,False,101,16,2,1
Judicial proceedings are available for the resolution of any conflict.,0,False,none,no_arbitration,synthetic,False,70,10,0,2
Any lawsuit or legal action must be filed in the appropriate court in New York.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,79,15,0,1
You consent to the exclusive jurisdiction of the courts located in Delaware.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,76,12,0,2
The parties may agree to submit disputes to arbitration if both parties consent.,1,True,optional,"optional_arbitration,choice_available",original,True,80,13,1,1
Any disagreement shall be resolved exclusively in the courts of San Francisco County.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,85,13,0,1
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded.,1,True,mandatory,,synthetic,False,103,14,1,2
Any controversy shall be resolved exclusively in the courts of New York. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,121,21,0,3
Any dispute shall be resolved exclusively in the courts of San Francisco County.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,80,13,0,2
You may seek equitable relief in court for intellectual property violations.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,76,11,0,2
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"class_action_waiver,location_specified",synthetic,False,316,47,1,3
Disputes should first be addressed through informal resolution procedures.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,74,9,0,2
You may seek equitable relief in court for intellectual property violations.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,76,11,0,2
All claims must be resolved through arbitration conducted by International Chamber of Commerce in California. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,243,38,1,1
Disputes will be resolved by a single arbitrator appointed under AAA rules.,1,True,mandatory,provider_specified,synthetic,False,75,12,2,1
You agree to binding arbitration for all disagreements and waive your right to jury trial. Small claims court proceedings are excluded from this arbitration requirement.,1,True,binding,"binding,jury_waiver",synthetic,False,169,25,2,3
These Terms are governed by the laws of California and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,91,17,0,2
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
Any disagreement arising out of or relating to this Terms of Service shall be resolved through confidential arbitration in Delaware. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,location_specified",synthetic,False,266,43,1,0
You may bring legal action in small claims court or any other court of competent jurisdiction. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,143,25,0,4
Optional arbitration procedures are available through JAMS.,1,True,optional,"optional_arbitration,choice_available",original,True,59,7,2,0
You may bring legal action in small claims court or any other court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,94,16,0,3
Any controversy arising out of or relating to this Terms of Service shall be resolved through final and binding arbitration in New York. The arbitration shall be governed by the laws of the State of Delaware.,1,True,binding,"binding,location_specified",synthetic,False,208,36,2,1
These Terms are governed by the laws of the state of incorporation and any disputes will be heard in court. You waive any objection to venue in such courts. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,226,39,0,3
The parties may agree to submit disputes to arbitration if both parties consent.,1,True,optional,"optional_arbitration,choice_available",original,True,80,13,1,1
Court proceedings are the exclusive remedy for any controversy arising from this agreement.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,91,13,0,3
You may seek equitable relief in court for intellectual property violations.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,76,11,0,2
"YOU AND THE COMPANY AGREE THAT ANY CONTROVERSY, CLAIM OR CONTROVERSY ARISING OUT OF OR RELATING TO THESE TERMS OR THE BREACH, TERMINATION, ENFORCEMENT, INTERPRETATION OR VALIDITY THEREOF OR THE USE OF THE SERVICE (COLLECTIVELY, 'CONTROVERSYS') WILL BE SETTLED BY CONFIDENTIAL ARBITRATION, EXCEPT THAT EACH PARTY RETAINS THE RIGHT: (I) TO BRING AN INDIVIDUAL ACTION IN SMALL CLAIMS COURT AND (II) TO SEEK INJUNCTIVE OR OTHER EQUITABLE RELIEF IN A COURT OF COMPETENT JURISDICTION. YOU ACKNOWLEDGE AND AGREE THAT YOU AND THE COMPANY ARE EACH WAIVING THE RIGHT TO A TRIAL BY JURY OR TO PARTICIPATE AS A PLAINTIFF OR CLASS MEMBER IN ANY PURPORTED CLASS ACTION OR REPRESENTATIVE PROCEEDING.",1,True,binding,"binding,jury_trial_waiver,class_action_waiver,small_claims_exception",variation,False,684,110,1,9
Any lawsuit or legal action must be filed in the appropriate court in San Francisco County. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,161,26,0,1
Optional arbitration procedures are available through JAMS.,1,True,optional,"optional_arbitration,choice_available",original,True,59,7,2,0
Legal proceedings may be initiated in any court of competent jurisdiction. You waive any objection to venue in such courts. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,193,30,0,4
Disputes will be resolved by a single arbitrator appointed under American Arbitration Association rules.,1,True,mandatory,provider_specified,synthetic,False,104,14,3,1
Binding arbitration will be the exclusive remedy for any claim related to this service. The arbitration shall be governed by the laws of the State of Delaware.,1,True,binding,"binding,location_specified",synthetic,False,159,27,2,1
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded.,1,True,mandatory,,synthetic,False,103,14,1,2
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,location_specified,synthetic,False,175,27,1,2
You agree that all legal matters will be settled by confidential arbitration administered by AAA.,1,True,mandatory,provider_specified,synthetic,False,97,15,2,0
"Except for legal matters in which either party seeks to bring an individual action in small claims court or seeks injunctive or other equitable relief for the alleged unlawful use of intellectual property, YOU AND COMPANY WAIVE YOUR RIGHTS TO A JURY TRIAL AND TO HAVE ANY legal matter ARISING OUT OF OR RELATED TO THESE TERMS OR OUR SERVICES RESOLVED IN COURT. Instead, all legal matters arising out of or relating to these Terms or our Services will be resolved through mandatory final and binding arbitration.",1,True,mandatory,"mandatory,binding,jury_trial_waiver,IP_exception,small_claims_exception",variation,False,511,87,2,2
The parties may engage in settlement discussions or mediation.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,62,9,1,1
You agree that any legal action may be brought in federal or state court in the state of incorporation.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,103,19,0,1
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,,synthetic,False,182,24,1,3
Disputes may be resolved through arbitration or court proceedings at the party's option.,1,True,optional,"optional_arbitration,choice_available",original,True,88,13,1,3
"You and the Company agree that any disagreement will be resolved through individual arbitration, and you waive your right to participate in class actions. You waive your right to participate in class action lawsuits.",1,True,mandatory,class_action_waiver,synthetic,False,216,34,2,0
You may choose arbitration or litigation to resolve any dispute.,1,True,optional,"optional_arbitration,choice_available",original,True,64,10,1,2
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
Any claim arising out of or relating to this User Agreement shall be resolved through individual arbitration in New York.,1,True,mandatory,location_specified,synthetic,False,121,20,2,1
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded.,1,True,mandatory,,synthetic,False,103,14,1,2
Any legal matter shall be resolved exclusively in the courts of the state of incorporation.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,91,15,0,1
Mediation may be used to resolve disputes before pursuing legal action.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,71,11,1,1
You consent to the exclusive jurisdiction of the courts located in New York.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,76,13,0,2
You consent to the exclusive jurisdiction of the courts located in New York.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,76,13,0,2
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded.,1,True,mandatory,,synthetic,False,103,14,1,2
Disputes may be resolved through arbitration or court proceedings at the party's option.,1,True,optional,"optional_arbitration,choice_available",original,True,88,13,1,3
These Terms are governed by the laws of New York and any disputes will be heard in court. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,159,28,0,2
You agree to binding arbitration for all claims and waive your right to jury trial. You waive your right to participate in class action lawsuits.,1,True,binding,"binding,jury_waiver,class_action_waiver",synthetic,False,145,25,2,1
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,location_specified,synthetic,False,175,27,1,2
These Terms are governed by the laws of San Francisco County and any disputes will be heard in court. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,150,28,0,3
You agree to binding arbitration for all disagreements and waive your right to jury trial. You waive your right to participate in class action lawsuits.,1,True,binding,"binding,jury_waiver,class_action_waiver",synthetic,False,152,25,2,0
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of International Chamber of Commerce. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,364,56,1,4
"You and the Company agree that any disagreement will be resolved through individual arbitration, and you waive your right to participate in class actions.",1,True,mandatory,class_action_waiver,synthetic,False,154,24,2,0
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded.,1,True,mandatory,,synthetic,False,103,14,1,2
"PLEASE READ THIS SECTION CAREFULLY. IT AFFECTS YOUR LEGAL RIGHTS. You agree that all disputes between you and us will be resolved by BINDING ARBITRATION. You GIVE UP YOUR RIGHT TO GO TO COURT to assert or defend your rights. You also GIVE UP YOUR RIGHT TO PARTICIPATE IN A CLASS ACTION OR OTHER CLASS PROCEEDING. Your rights will be determined by a NEUTRAL ARBITRATOR and NOT a judge or jury. You are entitled to a FAIR HEARING, but the arbitration procedures are SIMPLER AND MORE LIMITED THAN RULES APPLICABLE IN COURT.",1,True,binding,"binding,emphasized_text,jury_trial_waiver,class_action_waiver,court_waiver",original,False,520,92,3,3
Any conflict arising out of or relating to this contract shall be resolved through confidential arbitration in Delaware.,1,True,mandatory,location_specified,synthetic,False,120,18,1,0
Any lawsuit or legal action must be filed in the appropriate court in Delaware.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,79,14,0,1
All claims must be resolved through arbitration conducted by AAA in California. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,158,22,2,3
Any conflict shall be resolved exclusively in the courts of Delaware.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,69,11,0,1
All claims must be resolved through arbitration conducted by International Chamber of Commerce in California.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,109,15,1,1
Litigation may be pursued in state or federal court as appropriate. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,116,20,0,3
These Terms are governed by the laws of Delaware and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,89,17,0,2
Binding arbitration will be the exclusive remedy for any disagreement related to this service. You waive your right to participate in class action lawsuits.,1,True,binding,"binding,class_action_waiver",synthetic,False,156,24,2,0
Binding arbitration will be the exclusive remedy for any dispute related to this service. The arbitration shall be governed by the laws of the State of Delaware.,1,True,binding,"binding,location_specified",synthetic,False,161,27,2,1
Any disagreement arising out of or relating to this Terms of Service shall be resolved through confidential arbitration in Delaware. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,location_specified,synthetic,False,204,33,1,0
Disputes will be resolved by a single arbitrator appointed under American Arbitration Association rules. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,176,27,3,1
You may seek equitable relief in court for intellectual property violations.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,76,11,0,2
Court proceedings are the exclusive remedy for any claim arising from this agreement.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,85,13,0,3
Binding arbitration will be the exclusive remedy for any disagreement related to this service. The arbitration shall be governed by the laws of the State of Delaware. Small claims court proceedings are excluded from this arbitration requirement.,1,True,binding,"binding,location_specified",synthetic,False,245,37,2,3
These Terms are governed by the laws of the state of incorporation and any disputes will be heard in court.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,107,20,0,2
Any disagreement arising out of or relating to this contract shall be resolved through confidential arbitration in New York. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,location_specified,synthetic,False,196,32,1,0
Any conflict shall be resolved exclusively in the courts of the state of incorporation. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,136,23,0,2
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of ICC. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified",synthetic,False,183,30,2,2
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
Any legal matter shall be resolved exclusively in the courts of San Francisco County.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,85,14,0,1
All claims must be resolved through arbitration conducted by ICC in Delaware.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,77,12,2,1
"Except for disputes in which either party seeks to bring an individual action in small claims court or seeks injunctive or other equitable relief for the alleged unlawful use of intellectual property, YOU AND COMPANY WAIVE YOUR RIGHTS TO A JURY TRIAL AND TO HAVE ANY DISPUTE ARISING OUT OF OR RELATED TO THESE TERMS OR OUR SERVICES RESOLVED IN COURT. Instead, all disputes arising out of or relating to these Terms or our Services will be resolved through mandatory binding arbitration.",1,True,mandatory,"mandatory,binding,jury_trial_waiver,IP_exception,small_claims_exception",original,False,486,82,2,3
Disputes should first be addressed through informal resolution procedures.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,74,9,0,2
You waive your right to a jury trial All disputes will be resolved through mandatory arbitration. The arbitration shall be governed by the laws of the State of Delaware. You waive your right to participate in class action lawsuits.,1,True,mandatory,"mandatory,jury_waiver,class_action_waiver,location_specified",synthetic,False,231,39,2,1
The parties may agree to submit disputes to arbitration if both parties consent.,1,True,optional,"optional_arbitration,choice_available",original,True,80,13,1,1
IMPORTANT: You waive your right to a jury trial All disputes will be resolved through mandatory arbitration. The arbitration shall be governed by the laws of the State of Delaware. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"mandatory,jury_waiver,location_specified",synthetic,False,259,40,2,4
You may choose arbitration or litigation to resolve any dispute.,1,True,optional,"optional_arbitration,choice_available",original,True,64,10,1,2
Mediation may be used to resolve disputes before pursuing legal action.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,71,11,1,1
Binding arbitration will be the exclusive remedy for any legal matter related to this service. The arbitration shall be governed by the laws of the State of Delaware.,1,True,binding,"binding,location_specified",synthetic,False,166,28,2,0
Binding arbitration will be the exclusive remedy for any controversy related to this service.,1,True,binding,binding,synthetic,False,93,14,2,1
Binding arbitration will be the exclusive remedy for any disagreement related to this service.,1,True,binding,binding,synthetic,False,94,14,2,0
You agree to binding arbitration for all disagreements and waive your right to jury trial.,1,True,binding,"binding,jury_waiver",synthetic,False,90,15,2,0
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of American Arbitration Association. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified",synthetic,False,212,32,2,2
Any lawsuit or legal action must be filed in the appropriate court in the state of incorporation. You waive any objection to venue in such courts. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,216,36,0,2
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
You consent to the exclusive jurisdiction of the courts located in the state of incorporation. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,164,25,0,2
These Terms are governed by the laws of California and any disputes will be heard in court. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,161,27,0,2
Mediation may be used to resolve disputes before pursuing legal action.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,71,11,1,1
Arbitration is available as an alternative dispute resolution mechanism.,1,True,optional,"optional_arbitration,choice_available",original,True,72,9,2,2
You consent to the exclusive jurisdiction of the courts located in California.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,78,12,0,2
Disputes will be resolved by a single arbitrator appointed under JAMS rules.,1,True,mandatory,provider_specified,synthetic,False,76,12,2,1
You may choose arbitration or litigation to resolve any dispute.,1,True,optional,"optional_arbitration,choice_available",original,True,64,10,1,2
You agree that any legal action may be brought in federal or state court in the state of incorporation. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,152,28,0,2
All claims must be resolved through arbitration conducted by ICC in the state where the Company is headquartered. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,provider_specified,location_specified",synthetic,False,175,28,2,1
Any claim arising out of or relating to this Agreement shall be resolved through confidential arbitration in California. You waive your right to participate in class action lawsuits.,1,True,mandatory,"class_action_waiver,location_specified",synthetic,False,182,28,1,1
Judicial proceedings are available for the resolution of any dispute. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,118,19,0,5
PLEASE NOTE: You waive your right to a jury trial All disputes will be resolved through mandatory arbitration.,1,True,mandatory,"mandatory,jury_waiver",synthetic,False,110,18,2,1
You agree that all conflicts will be settled by mandatory arbitration administered by American Arbitration Association.,1,True,mandatory,"mandatory,provider_specified",synthetic,False,119,16,3,0
Any legal action must be brought through arbitration only. Court proceedings are specifically excluded. You waive your right to participate in class action lawsuits.,1,True,mandatory,class_action_waiver,synthetic,False,165,24,1,2
You agree that any legal action may be brought in federal or state court in New York.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,85,17,0,1
"You and the Company agree that any dispute will be resolved through individual arbitration, and you waive your right to participate in class actions.",1,True,mandatory,class_action_waiver,synthetic,False,149,24,2,1
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of JAMS. The arbitration shall be governed by the laws of the State of Delaware. Small claims court proceedings are excluded from this arbitration requirement.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,273,43,2,4
The parties may engage in settlement discussions or mediation.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,62,9,1,1
"PLEASE READ THIS SECTION CAREFULLY. IT AFFECTS YOUR LEGAL RIGHTS. you acknowledge that all disagreements between you and us will be resolved by confidential arbitration. You GIVE UP YOUR RIGHT TO GO TO COURT to assert or defend your rights. You also GIVE UP YOUR RIGHT TO PARTICIPATE IN A CLASS ACTION OR OTHER CLASS PROCEEDING. Your rights will be determined by a NEUTRAL ARBITRATOR and NOT a judge or jury. You are entitled to a FAIR HEARING, but the arbitration procedures are SIMPLER AND MORE LIMITED THAN RULES APPLICABLE IN COURT.",1,True,binding,"binding,emphasized_text,jury_trial_waiver,class_action_waiver,court_waiver",variation,False,536,92,2,2
Litigation may be pursued in state or federal court as appropriate.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,67,11,0,2
"YOU AND THE COMPANY AGREE THAT ANY CONTROVERSY, CLAIM OR CONTROVERSY ARISING OUT OF OR RELATING TO THESE TERMS OR THE BREACH, TERMINATION, ENFORCEMENT, INTERPRETATION OR VALIDITY THEREOF OR THE USE OF THE SERVICE (COLLECTIVELY, 'CONTROVERSYS') WILL BE SETTLED BY FINAL AND BINDING ARBITRATION, EXCEPT THAT EACH PARTY RETAINS THE RIGHT: (I) TO BRING AN INDIVIDUAL ACTION IN SMALL CLAIMS COURT AND (II) TO SEEK INJUNCTIVE OR OTHER EQUITABLE RELIEF IN A COURT OF COMPETENT JURISDICTION. YOU ACKNOWLEDGE AND AGREE THAT YOU AND THE COMPANY ARE EACH WAIVING THE RIGHT TO A TRIAL BY JURY OR TO PARTICIPATE AS A PLAINTIFF OR CLASS MEMBER IN ANY PURPORTED CLASS ACTION OR REPRESENTATIVE PROCEEDING.",1,True,binding,"binding,jury_trial_waiver,class_action_waiver,small_claims_exception",variation,False,689,112,2,9
All claims must be resolved through arbitration conducted by International Chamber of Commerce in the state where the Company is headquartered.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,143,21,1,1
You agree to binding arbitration for all controversys and waive your right to jury trial. The arbitration shall be governed by the laws of the State of Delaware.,1,True,binding,"binding,jury_waiver,location_specified",synthetic,False,161,28,2,1
Mediation may be used to resolve disputes before pursuing legal action.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,71,11,1,1
You consent to the exclusive jurisdiction of the courts located in San Francisco County. You waive any objection to venue in such courts. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,207,33,0,3
You consent to the exclusive jurisdiction of the courts located in San Francisco County. You waive any objection to venue in such courts. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,207,33,0,3
The parties may engage in settlement discussions or mediation.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,62,9,1,1
Judicial proceedings are available for the resolution of any controversy.,0,False,none,no_arbitration,synthetic,False,73,10,0,3
Disputes will be resolved by a single arbitrator appointed under International Chamber of Commerce rules.,1,True,mandatory,provider_specified,synthetic,False,105,15,1,1
"EXCEPT FOR CONTROVERSYS IN WHICH EITHER PARTY SEEKS TO BRING AN INDIVIDUAL ACTION IN SMALL CLAIMS COURT OR SEEKS INJUNCTIVE OR OTHER EQUITABLE RELIEF FOR THE ALLEGED UNLAWFUL USE OF INTELLECTUAL PROPERTY, YOU AND COMPANY WAIVE YOUR RIGHTS TO A JURY TRIAL AND TO HAVE ANY CONTROVERSY ARISING OUT OF OR RELATED TO THESE TERMS OR OUR SERVICES RESOLVED IN COURT. INSTEAD, ALL CONTROVERSYS ARISING OUT OF OR RELATING TO THESE TERMS OR OUR SERVICES WILL BE RESOLVED THROUGH MANDATORY FINAL AND BINDING ARBITRATION.",1,True,mandatory,"mandatory,binding,jury_trial_waiver,IP_exception,small_claims_exception",variation,False,508,84,2,3
Any claim shall be resolved exclusively in the courts of San Francisco County.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,78,13,0,2
Any controversy or claim arising from this agreement shall be settled by arbitration in accordance with the rules of International Chamber of Commerce. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,"provider_specified,location_specified",synthetic,False,223,36,1,2
Any claim arising out of or relating to this Terms and Conditions shall be resolved through mandatory arbitration in California. The arbitration shall be governed by the laws of the State of Delaware.,1,True,mandatory,"mandatory,location_specified",synthetic,False,200,33,2,1
Alternative dispute resolution is encouraged but not required.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,62,8,1,2
Judicial proceedings are available for the resolution of any claim. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,no_arbitration,synthetic,False,137,20,0,3
Disputes will be resolved by a single arbitrator appointed under AAA rules.,1,True,mandatory,provider_specified,synthetic,False,75,12,2,1
Alternative dispute resolution is encouraged but not required.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,62,8,1,2
You agree that any legal action may be brought in federal or state court in San Francisco County. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,venue_selection,no_arbitration",synthetic,False,146,27,0,2
You may bring legal action in small claims court or any other court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,94,16,0,3
Arbitration is available as an alternative dispute resolution mechanism.,1,True,optional,"optional_arbitration,choice_available",original,True,72,9,2,2
You consent to the exclusive jurisdiction of the courts located in San Francisco County. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,137,23,0,3
Disputes will be resolved by a single arbitrator appointed under International Chamber of Commerce rules.,1,True,mandatory,provider_specified,synthetic,False,105,15,1,1
Alternative dispute resolution is encouraged but not required.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,62,8,1,2
Legal proceedings may be initiated in any court of competent jurisdiction. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,144,21,0,3
Alternative dispute resolution is encouraged but not required.,0,False,none,"alternative_dispute_resolution,no_mandatory_arbitration",original,True,62,8,1,2
You consent to the exclusive jurisdiction of the courts located in California.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,78,12,0,2
Any lawsuit or legal action must be filed in the appropriate court in the state of incorporation.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,97,17,0,1
Any lawsuit or legal action must be filed in the appropriate court in the state of incorporation.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,97,17,0,1
Any conflict arising out of or relating to this User Agreement shall be resolved through binding arbitration in New York.,1,True,binding,"binding,location_specified",synthetic,False,121,20,2,0
Judicial proceedings are available for the resolution of any dispute. The prevailing party shall be entitled to reasonable attorney's fees.,0,False,none,no_arbitration,synthetic,False,139,20,0,3
You consent to the exclusive jurisdiction of the courts located in Delaware. You waive any objection to venue in such courts.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,venue_selection,no_arbitration",synthetic,False,125,21,0,3
Legal proceedings may be initiated in any court of competent jurisdiction.,0,False,none,"court_jurisdiction,no_arbitration",synthetic,False,74,11,0,3
"You and the Company agree that any dispute will be resolved through individual arbitration, and you waive your right to participate in class actions.",1,True,mandatory,class_action_waiver,synthetic,False,149,24,2,1
You consent to the exclusive jurisdiction of the courts located in San Francisco County.,0,False,none,"court_jurisdiction,exclusive_jurisdiction,no_arbitration",synthetic,False,88,14,0,2
